Month,BAJAJ_ELECTRICALS_LTD,Bajaj_Finance_Limited,Tata_Steel_Bsl_Ltd,Reliance_Capital,STATE_BANK_OF_INDIA,HDFC_Bank_Ltd,INFOSYS_LTD,KOTAK_MAHINDRA_BANK_LTD,RELIANCE_INDUSTRIES_LTD,RELIANCE_INFRA_LTD,TATA_STEEL_LTD,TATA_COMMUNICATIONS_LTD,TATA_MOTORS_LTD,TATA_CHEMICALS_LTD,Tata_Consumer_Products_Ltd,TATA_INVESTMENT_CORPORATION_LTD,RELIANCE_CHEMOTEX_INDUSTRIES_LTD,Tata_Steel_Long_Products,TATA_METALIKS_LTD,RELIANCE_INDUSTRIAL_INFRASTRUCTURE_LTD,ICICI_BANK_LTD,TATA_COFFEE_LTD,BHARTI_AIRTEL_LTD,TATA_CONSULTANCY_SERVICE,RELIANCE_COMMUNICATIONS_LTD,Reliance_Naval_and_Engineering_Ltd,Raymond_Ltd,JKCEMENT_LTD,AMBUJA CEMENTS LTD,OIL INDIA LTD
January-2010,828,332.7,1455,861.8,2265,1690.25,2606,812,1094,1153.7,622.7,339.7,791,322,950,484.8,32.05,323.9,147.5,964,888,404.9,330,750.7,175.9,54.8,195.6,148.5,104.4,1249
February-2010,177.95,307,1440,800,2045,1615,2470,774,1037.95,1029,473.95,323.9,699.4,304.4,930.1,509,30.4,378,144.5,885,822,351.8,305.5,735.45,169.1,53.6,232,144,101.5,1144.3
March-2010,196,300,1662,796.5,1990,1720,2636,750,986.6,1010,580.5,285,729,286,941,476.7,29.15,340,139,825,885.1,355.95,281.6,763.1,159.25,55,218.5,177.8,107,1160
April-2010,224,323.7,1775,763.85,2085,1939,2620,752.4,1080.05,1002.15,637,283.9,755,328.9,978,495.7,27.9,375,144.95,816,952,361,315,786.9,174,70.9,241.6,178.25,120.4,1141.1
May-2010,228,422,1766.5,730,2291,1990,2697,740,1024.7,1125,614.9,269.9,871.5,352.8,1074,514,35.95,368.85,150.25,825,945,389,297.5,756,163,86.95,236,185,120.4,1115
June-2010,206,460,1396.3,649.1,2260,1880,2655,755,1045,1065,498,235,745,321.6,1090,471,38.35,320,125,775,865,372.8,263,742,144,88.3,210,182,109.45,1258.1
July-2010,221,474.55,1397.2,757,2290,1910,2801,769.9,1083.6,1195.1,481.8,262.9,773.6,333.7,121.5,474,39.5,330,144,981,854,428.95,263,748,196.8,100.2,232,185,113.95,1452
August-2010,248.8,561,1570,786.05,2520,2127.45,2781,775,1020.05,1116,538,274.5,855,367,117.8,492,56,313,145.9,869.7,917.95,449.7,307.1,846,180.9,98.05,229,168,119.45,1408.65
September-2010,290,612,1833,759.25,2772,2140,2707,831.9,931,1005.05,527.2,338.7,1015,397,121.65,523.95,55.05,317.05,136.7,848.8,984,487,328.5,844,157.1,107.1,365.25,165,126,1450
October-2010,301.1,779,420,789.7,3250,2482,3044,480.55,992,1080,659.4,309.05,1100,402.5,121.3,594.4,74,377.75,141,864.7,1120,603,366,928.8,168.5,96,363,171.95,140.7,1513
